twa/tws;4;6;8;10;12;14;16;20;24
0;0;0;0;0;0;0;0;0;0
52;3.43;4.63;5.5;6.1;6.49;6.71;6.84;6.92;6.93
60;3.66;4.89;5.76;6.32;6.66;6.88;7.02;7.14;7.18
75;3.79;5.07;5.94;6.49;6.81;7.04;7.24;7.5;7.63
90;3.64;4.99;6.02;6.66;7.04;7.33;7.57;7.85;8.02
110;3.64;5.01;6.06;6.7;7.08;7.42;7.74;8.34;8.89
120;3.49;4.82;5.87;6.57;6.98;7.33;7.66;8.32;9.06
135;3.06;4.3;5.35;6.17;6.71;7.07;7.4;8.05;8.77
150;2.52;3.64;4.66;5.5;6.18;6.66;6.98;7.55;8.12 
