latitude,longitude,depth_avg,navigable
37.865320000000004,-0.098924,-494.8,True
37.865320000000004,-0.056923999999999995,-509.7,True
37.865320000000004,-0.014923999999999993,-573.8,True
37.865320000000004,0.027076000000000003,-795.2,True
37.865320000000004,0.06907600000000001,-875.2,True
37.865320000000004,0.11107600000000002,-960.9,True
37.865320000000004,0.153076,-1266.2,True
37.865320000000004,0.19507600000000003,-1431.9,True
37.865320000000004,0.237076,-1501.2,True
37.865320000000004,0.279076,-1600.3,True
37.865320000000004,0.32107600000000003,-1705.9,True
37.865320000000004,0.363076,-1722.5,True
37.865320000000004,0.405076,-1695.1,True
37.865320000000004,0.44707600000000003,-1731.5,True
37.865320000000004,0.48907600000000007,-1842.9,True
37.865320000000004,0.531076,-1990.3,True
37.865320000000004,0.573076,-2320.3,True
37.865320000000004,0.6150760000000001,-2547.1,True
37.865320000000004,0.657076,-2615.1,True
37.865320000000004,0.699076,-2649.9,True
37.865320000000004,0.7410760000000001,-2672.5,True
37.865320000000004,0.783076,-2684.0,True
37.865320000000004,0.825076,-2681.4,True
37.865320000000004,0.8670760000000001,-2616.6,True
37.865320000000004,0.909076,-2640.4,True
37.865320000000004,0.951076,-2566.7,True
37.865320000000004,0.9930760000000001,-2593.0,True
37.865320000000004,1.035076,-2617.2,True
37.865320000000004,1.0770760000000001,-2619.6,True
37.865320000000004,1.119076,-2622.6,True
37.865320000000004,1.161076,-2642.3,True
37.865320000000004,1.203076,-2655.8,True
37.865320000000004,1.245076,-2624.5078,True
37.865320000000004,1.287076,-2543.6836,True
37.865320000000004,1.3290760000000001,-2631.2,True
37.865320000000004,1.3710760000000002,-2593.7,True
37.865320000000004,1.413076,-2585.3,True
37.865320000000004,1.455076,-2559.2,True
37.865320000000004,1.497076,-2547.7,True
37.865320000000004,1.539076,-2594.1,True
37.865320000000004,1.5810760000000001,-2634.1,True
37.865320000000004,1.6230760000000002,-2697.3,True
37.865320000000004,1.665076,-2712.7,True
37.865320000000004,1.707076,-2732.7,True
37.865320000000004,1.749076,-2735.0,True
37.865320000000004,1.7910760000000001,-2735.0,True
37.865320000000004,1.8330760000000001,-2740.5,True
37.865320000000004,1.8750760000000002,-2747.8,True
37.865320000000004,1.917076,-2753.7,True
37.865320000000004,1.9590760000000003,-2774.7,True
37.865320000000004,2.0010760000000003,-2778.4,True
37.865320000000004,2.0430760000000006,-2789.9,True
37.865320000000004,2.0850760000000004,-2802.8,True
37.865320000000004,2.127076,-2800.2,True
37.865320000000004,2.1690760000000004,-2797.6,True
37.865320000000004,2.2110760000000003,-2795.3,True
37.865320000000004,2.2530760000000005,-2802.2,True
37.865320000000004,2.2950760000000003,-2803.4,True
37.865320000000004,2.337076,-2798.9,True
37.865320000000004,2.3790760000000004,-2802.8,True
37.865320000000004,2.4210760000000002,-2797.7,True
37.865320000000004,2.4630760000000005,-2783.3,True
37.865320000000004,2.5050760000000003,-2801.3,True
37.865320000000004,2.5470760000000006,-2806.7,True
37.865320000000004,2.5890760000000004,-2805.8,True
37.865320000000004,2.631076,-2791.6,True
37.865320000000004,2.6730760000000005,-2798.1,True
37.865320000000004,2.7150760000000003,-2796.2,True
37.865320000000004,2.7570760000000005,-2803.2,True
37.865320000000004,2.7990760000000003,-2800.2,True
37.865320000000004,2.8410760000000006,-2799.5,True
37.865320000000004,2.8830760000000004,-2800.9531,True
37.865320000000004,2.9250760000000002,-2797.9814,True
37.865320000000004,2.9670760000000005,-2798.7449,True
37.865320000000004,3.0090760000000003,-2812.6484,True
37.865320000000004,3.0510760000000006,-2824.213,True
37.865320000000004,3.0930760000000004,-2828.8008,True
37.865320000000004,3.135076,-2803.2349,True
37.865320000000004,3.1770760000000005,-2807.0913,True
37.865320000000004,3.2190760000000003,-2806.3777,True
37.865320000000004,3.2610760000000005,-2803.6858,True
37.865320000000004,3.3030760000000003,-2807.088,True
37.865320000000004,3.3450760000000006,-2791.0469,True
37.865320000000004,3.3870760000000004,-2799.0818,True
37.865320000000004,3.4290760000000002,-2799.86,True
37.865320000000004,3.4710760000000005,-2820.336,True
37.865320000000004,3.5130760000000003,-2828.175,True
37.865320000000004,3.5550760000000006,-2827.9116,True
37.865320000000004,3.5970760000000004,-2832.3489,True
37.865320000000004,3.6390760000000006,-2812.9224,True
37.865320000000004,3.6810760000000005,-2817.944,True
37.865320000000004,3.7230760000000003,-2827.1348,True
37.865320000000004,3.7650760000000005,-2849.9814,True
37.865320000000004,3.8070760000000003,-2857.04,True
37.865320000000004,3.8490760000000006,-2857.4744,True
37.865320000000004,3.8910760000000004,-2864.3647,True
37.865320000000004,3.9330760000000002,-2866.6384,True
37.865320000000004,3.975076,-2860.9229,True
37.865320000000004,4.017076,-2881.7153,True
37.865320000000004,4.059076,-2906.85,True
37.865320000000004,4.101076,-2881.3525,True
37.865320000000004,4.143076,-2849.0032,True
37.865320000000004,4.1850760000000005,-2842.75,True
37.865320000000004,4.227076,-2798.3716,True
37.865320000000004,4.269076,-2801.309,True
37.865320000000004,4.311076,-2811.0544,True
37.865320000000004,4.353076,-2892.2344,True
37.865320000000004,4.395076,-2865.0293,True
37.865320000000004,4.437076,-2860.0288,True
37.865320000000004,4.479076,-2857.3726,True
37.865320000000004,4.521076,-2857.9429,True
37.865320000000004,4.563076,-2793.7961,True
37.865320000000004,4.605076,-2751.6484,True
37.865320000000004,4.647076,-2754.1777,True
37.865320000000004,4.689076,-2773.001,True
37.865320000000004,4.731076,-2800.0784,True
37.865320000000004,4.773076,-2815.4229,True
37.865320000000004,4.815076,-2815.5774,True
37.865320000000004,4.857076,-2807.3376,True
37.865320000000004,4.899076,-2807.0127,True
37.865320000000004,4.941076,-2837.5164,True
37.865320000000004,4.9830760000000005,-2877.3499,True
37.865320000000004,5.025076,-2869.1362,True
37.865320000000004,5.067076,-2860.7297,True
37.865320000000004,5.109076,-2836.0586,True
37.865320000000004,5.151076,-2817.4648,True
37.92213355630997,-0.098924,-633.5,True
37.92213355630997,-0.056923999999999995,-657.2,True
37.92213355630997,-0.014923999999999993,-873.9,True
37.92213355630997,0.027076000000000003,-994.8,True
37.92213355630997,0.06907600000000001,-1104.0,True
37.92213355630997,0.11107600000000002,-1267.6,True
37.92213355630997,0.153076,-1375.7,True
37.92213355630997,0.19507600000000003,-1444.0,True
37.92213355630997,0.237076,-1489.8,True
