latitude,longitude,depth_avg,navigable,time,wind_speed_10m,wind_direction_10m,navigable_wind,blocked_seamark,is_buoy,navigable_final
37.86532,3.5970760000000004,-2832.3489,True,,,,False,False,False,True
37.86532,3.6390760000000006,-2812.9224,True,,,,False,False,False,True
37.86532,3.681076000000001,-2817.944,True,,,,False,False,False,True
37.86532,3.723076,-2827.1348,True,,,,False,False,False,True
37.86532,3.765076000000001,-2849.9814,True,,,,False,False,False,True
37.86532,3.807076,-2857.04,True,,,,False,False,False,True
37.86532,3.8490760000000006,-2857.4744,True,,,,False,False,False,True
37.86532,3.891076,-2864.3647,True,,,,False,False,False,True
37.86532,3.933076,-2866.6384,True,,,,False,False,False,True
37.86532,3.975076,-2860.9229,True,,,,False,False,False,True
37.86532,4.017076,-2881.7153,True,,,,False,False,False,True
37.86532,4.059076,-2906.85,True,,,,False,False,False,True
37.86532,4.101076,-2881.3525,True,,,,False,False,False,True
37.86532,4.143076,-2849.0032,True,,,,False,False,False,True
37.86532,4.1850760000000005,-2842.75,True,,,,False,False,False,True
37.86532,4.227076,-2798.3716,True,,,,False,False,False,True
37.86532,4.269076,-2801.309,True,,,,False,False,False,True
37.86532,4.311076,-2811.0544,True,,,,False,False,False,True
37.86532,4.353076,-2892.2344,True,,,,False,False,False,True
37.86532,4.395076,-2865.0293,True,,,,False,False,False,True
37.86532,4.437076,-2860.0288,True,,,,False,False,False,True
37.86532,4.479076,-2857.3726,True,,,,False,False,False,True
37.86532,4.521076,-2857.9429,True,,,,False,False,False,True
37.86532,4.563076,-2793.7961,True,,,,False,False,False,True
37.86532,4.605076,-2751.6484,True,,,,False,False,False,True
37.86532,4.647076,-2754.1777,True,,,,False,False,False,True
37.86532,4.689076,-2773.001,True,,,,False,False,False,True
37.86532,4.731076,-2800.0784,True,,,,False,False,False,True
37.86532,4.773076,-2815.4229,True,,,,False,False,False,True
37.86532,4.815076,-2815.5774,True,,,,False,False,False,True
37.86532,4.857076,-2807.3376,True,,,,False,False,False,True
37.86532,4.899076,-2807.0127,True,,,,False,False,False,True
37.86532,4.941076,-2837.5164,True,,,,False,False,False,True
37.86532,4.9830760000000005,-2877.3499,True,,,,False,False,False,True
37.86532,5.025076,-2869.1362,True,,,,False,False,False,True
37.86532,5.067076,-2860.7297,True,,,,False,False,False,True
37.86532,5.109076,-2836.0586,True,,,,False,False,False,True
37.86532,5.151076,-2817.4648,True,,,,False,False,False,True
37.92213355630997,-0.098924,-633.5,True,,,,False,False,False,True
37.92213355630997,-0.0569239999999999,-657.2,True,,,,False,False,False,True
37.92213355630997,-0.0149239999999999,-873.9,True,,,,False,False,False,True
37.92213355630997,0.027076,-994.8,True,,,,False,False,False,True
37.92213355630997,0.069076,-1104.0,True,,,,False,False,False,True
37.92213355630997,0.111076,-1267.6,True,,,,False,False,False,True
37.92213355630997,0.153076,-1375.7,True,,,,False,False,False,True
37.92213355630997,0.195076,-1444.0,True,,,,False,False,False,True
37.92213355630997,0.237076,-1489.8,True,,,,False,False,False,True
37.92213355630997,0.279076,-1543.0,True,,,,False,False,False,True
37.92213355630997,0.321076,-1546.2,True,,,,False,False,False,True
37.92213355630997,0.363076,-1551.3,True,,,,False,False,False,True
37.92213355630997,0.405076,-1502.0,True,,,,False,False,False,True
37.92213355630997,0.447076,-1757.3,True,,,,False,False,False,True
37.92213355630997,0.489076,-1928.3,True,,,,False,False,False,True
37.92213355630997,0.531076,-2091.0,True,,,,False,False,False,True
37.92213355630997,0.573076,-2315.6,True,,,,False,False,False,True
37.92213355630997,0.6150760000000001,-2386.2,True,,,,False,False,False,True
37.92213355630997,0.657076,-2318.8,True,,,,False,False,False,True
37.92213355630997,0.699076,-2299.8,True,,,,False,False,False,True
37.92213355630997,0.7410760000000001,-2277.9,True,,,,False,False,False,True
37.92213355630997,0.783076,-2349.6,True,,,,False,False,False,True
37.92213355630997,0.825076,-2426.2,True,,,,False,False,False,True
37.92213355630997,0.8670760000000001,-2458.1,True,,,,False,False,False,True
37.92213355630997,0.909076,-2490.4,True,,,,False,False,False,True
37.92213355630997,0.951076,-2534.2,True,,,,False,False,False,True
37.92213355630997,0.993076,-2564.5,True,,,,False,False,False,True
37.92213355630997,1.035076,-2579.2,True,,,,False,False,False,True
37.92213355630997,1.077076,-2539.8,True,,,,False,False,False,True
37.92213355630997,1.119076,-2529.9,True,,,,False,False,False,True
37.92213355630997,1.161076,-2532.0,True,,,,False,False,False,True
37.92213355630997,1.203076,-2527.9,True,,,,False,False,False,True
37.92213355630997,1.245076,-2538.3,True,,,,False,False,False,True
37.92213355630997,1.287076,-2565.0,True,,,,False,False,False,True
37.92213355630997,1.329076,-2544.1,True,,,,False,False,False,True
37.92213355630997,1.3710760000000002,-2490.2,True,,,,False,False,False,True
37.92213355630997,1.413076,-2516.4,True,,,,False,False,False,True
37.92213355630997,1.455076,-2507.0,True,,,,False,False,False,True
37.92213355630997,1.497076,-2483.2,True,,,,False,False,False,True
37.92213355630997,1.539076,-2372.3,True,,,,False,False,False,True
37.92213355630997,1.581076,-2405.6,True,,,,False,False,False,True
37.92213355630997,1.6230760000000002,-2507.0,True,,,,False,False,False,True
37.92213355630997,1.665076,-2605.7,True,,,,False,False,False,True
37.92213355630997,1.707076,-2346.4,True,,,,False,False,False,True
37.92213355630997,1.749076,-2746.0,True,,,,False,False,False,True
37.92213355630997,1.791076,-2745.3,True,,,,False,False,False,True
37.92213355630997,1.833076,-2720.8,True,,,,False,False,False,True
37.92213355630997,1.875076,-2718.2388,True,,,,False,False,False,True
37.92213355630997,1.917076,-2697.2788,True,,,,False,False,False,True
37.92213355630997,1.9590760000000005,-2700.0923,True,,,,False,False,False,True
37.92213355630997,2.0010760000000003,-2659.25,True,,,,False,False,False,True
37.92213355630997,2.043076000000001,-2533.225,True,,,,False,False,False,True
37.92213355630997,2.0850760000000004,-2574.3,True,,,,False,False,False,True
37.92213355630997,2.127076,-2829.2,True,,,,False,False,False,True
37.92213355630997,2.1690760000000004,-2811.1,True,,,,False,False,False,True
37.92213355630997,2.2110760000000003,-2804.2,True,,,,False,False,False,True
37.92213355630997,2.2530760000000005,-2798.7,True,,,,False,False,False,True
37.92213355630997,2.2950760000000003,-2801.5,True,,,,False,False,False,True
37.92213355630997,2.337076,-2801.2,True,,,,False,False,False,True
37.92213355630997,2.3790760000000004,-2804.8,True,,,,False,False,False,True
37.92213355630997,2.421076,-2800.0,True,,,,False,False,False,True
37.92213355630997,2.4630760000000005,-2800.6,True,,,,False,False,False,True
37.92213355630997,2.5050760000000003,-2795.3,True,,,,False,False,False,True
37.92213355630997,2.547076000000001,-2795.7,True,,,,False,False,False,True
37.92213355630997,2.5890760000000004,-2783.4,True,,,,False,False,False,True
37.92213355630997,2.631076,-2802.5,True,,,,False,False,False,True
37.92213355630997,2.6730760000000005,-2799.6,True,,,,False,False,False,True
37.92213355630997,2.7150760000000003,-2804.9,True,,,,False,False,False,True
37.92213355630997,2.7570760000000005,-2791.9,True,,,,False,False,False,True
37.92213355630997,2.7990760000000003,-2799.6,True,,,,False,False,False,True
37.92213355630997,2.8410760000000006,-2801.5,True,,,,False,False,False,True
37.92213355630997,2.8830760000000004,-2798.1533,True,,,,False,False,False,True
37.92213355630997,2.925076,-2804.2937,True,,,,False,False,False,True
37.92213355630997,2.9670760000000005,-2798.6326,True,,,,False,False,False,True
37.92213355630997,3.0090760000000003,-2802.455,True,,,,False,False,False,True
37.92213355630997,3.051076000000001,-2802.4143,True,,,,False,False,False,True
37.92213355630997,3.0930760000000004,-2804.0532,True,,,,False,False,False,True
37.92213355630997,3.135076,-2801.2786,True,,,,False,False,False,True
37.92213355630997,3.1770760000000005,-2807.7046,True,,,,False,False,False,True
37.92213355630997,3.2190760000000003,-2800.6958,True,,,,False,False,False,True
37.92213355630997,3.2610760000000005,-2802.5728,True,,,,False,False,False,True
37.92213355630997,3.3030760000000003,-2799.4,True,,,,False,False,False,True
37.92213355630997,3.3450760000000006,-2801.9426,True,,,,False,False,False,True
