date,route_id,step,latitude,longitude,heading,speed,wind_dir,wind_speed,target_heading,target_speed
20250519,20250519_24,0,39.16080834648752,4.227076,318.8469381902404,6.348,119.0,12.7,318.8469381902404,6.348
20250519,20250519_24,1,39.27234670095148,4.101076,318.8469381902404,6.276,122.0,12.4,318.8466707861399,6.276
20250519,20250519_24,2,39.38370637165119,3.975076,318.8466707861399,6.077999999999999,126.0,11.7,318.84640337282724,6.077999999999999
20250519,20250519_24,3,39.49488722825432,3.8490760000000006,318.84640337282724,5.67,129.0,10.5,318.84613595778035,5.67
20250519,20250519_24,4,39.60588914335393,3.723076,318.84613595778035,4.87,137.0,8.5,318.845868548453,4.87
20250519,20250519_24,5,39.71671199245711,3.5970760000000004,318.845868548453,3.793,153.0,6.3,318.84560115225145,3.793
20250519,20250519_24,6,39.82735565397359,3.4710760000000005,318.84560115225145,4.405,168.0,7.5,318.84533377649234,4.405
20250519,20250519_24,7,39.937820009204,3.3450760000000006,318.84533377649234,5.478557739077397,170.0,7.9,299.77718060353664,5.478557739077397
20250519,20250519_24,8,39.99298491065609,3.2190760000000003,299.77718060353664,5.676616544892132,172.0,8.2,299.77707052483856,5.676616544892132
20250519,20250519_24,9,40.048104942328514,3.0930760000000004,299.77707052483856,5.416,145.0,9.8,299.7769604449314,5.416
20250519,20250519_24,10,40.10318009019184,2.9670760000000005,299.7769604449314,5.29,136.0,9.5,299.7768503645659,5.29
20250519,20250519_24,11,40.15821034039509,2.8410760000000006,299.7768503645659,3.989431197807321,135.0,5.5,270.0135429093495,3.989431197807321
20250519,20250519_24,12,40.15821034039509,2.7990760000000003,270.0135429093495,3.989431197807321,135.0,5.5,270.0135429093495,3.989431197807321
20250519,20250519_24,13,40.15821034039509,2.7570760000000005,270.0135429093495,3.2316117699319813,141.0,2.8,270.0135429093495,3.2316117699319813
20250519,20250519_24,14,40.15821034039509,2.7150760000000003,270.0135429093495,3.059512455263418,135.0,0.5,270.0135429093495,3.059512455263418
20250519,20250519_24,15,40.15821034039509,2.6730760000000005,270.0135429093495,3.059512455263418,135.0,0.5,270.0135429093495,3.059512455263418
20250519,20250519_24,16,40.15821034039509,2.631076,270.0135429093495,3.750135429093495,349.0,1.0,270.0135429093495,3.750135429093495
